symbol,label
TMO, Thermo Fisher Scientific Inc
AKAM, Akamai Technologies Inc.
ALXN, Alexion Pharmaceuticals Inc.
MGM, MGM Resorts International
ELF, e.l.f. Beauty Inc.
DDRX, DDiT Development Group Inc. *(lower liquidity / speculative)*
DNUT, Krispy Kreme Inc.
SWVL, Swvl Holdings Corp.
GOTU, Grailix Therapeutics Inc.
SPSM, SPDR Portfolio S&P 500 Growth ETF *(ETF – only if you decide to include)*
ST, Sensata Technologies Holding plc
ALI, Alight (Alight Inc.)
SIRI, Sirius XM Holdings Inc.
MC, Moody’s Corporation
TTD, The Trade Desk Inc.
ATVI, Activision Blizzard Inc.
ANSS, Ansys Inc.
MCUFT, Microchip Technology Inc. *(check symbol)*
